DATE,TIME,OPEN,HIGH,LOW,CLOSE
2024.09.04,10:00:00,2484.15,2487.88,2483.85,2487.69
2024.09.04,10:15:00,2487.69,2488.13,2483.26,2483.65
2024.09.04,10:30:00,2483.73,2486.08,2482.88,2484.16
2024.09.04,10:45:00,2484.15,2484.87,2481.91,2482.09
2024.09.04,11:00:00,2482.07,2483.22,2480.07,2480.3
2024.09.04,11:15:00,2480.3,2481.36,2478.9,2480.7
2024.09.04,11:30:00,2480.7,2481.61,2476.77,2477.44
2024.09.04,11:45:00,2477.45,2477.45,2472.39,2473.2
2024.09.04,12:00:00,2473.19,2476.26,2471.77,2474.98
2024.09.04,12:15:00,2474.96,2475.33,2473.27,2474.32
2024.09.04,12:30:00,2474.31,2479.63,2474.12,2478.8
2024.09.04,12:45:00,2478.85,2483.18,2478.46,2481.53
2024.09.04,13:00:00,2481.53,2484.22,2481.03,2483.09
2024.09.04,13:15:00,2483.12,2485.4,2482.43,2484.2
2024.09.04,13:30:00,2484.2,2488.96,2484.2,2488.12
2024.09.04,13:45:00,2488.12,2489.9,2487.31,2488.95
2024.09.04,14:00:00,2488.95,2491.14,2487.37,2489.89
2024.09.04,14:15:00,2489.9,2490.83,2487.7,2490.83
2024.09.04,14:30:00,2490.87,2491.05,2486.62,2488.08
2024.09.04,14:45:00,2488.03,2489.41,2487.62,2489.14
2024.09.04,15:00:00,2489.15,2490.89,2488.16,2489.63
2024.09.04,15:15:00,2489.63,2490.46,2486.16,2486.7
2024.09.04,15:30:00,2486.71,2490.99,2485.77,2490.24
2024.09.04,15:45:00,2490.21,2490.42,2485.38,2486.43
2024.09.04,16:00:00,2486.47,2488.87,2485.07,2487.62
2024.09.04,16:15:00,2487.64,2489.76,2485.12,2486.14
2024.09.04,16:30:00,2486.14,2489.95,2485.1,2485.78
2024.09.04,16:45:00,2485.74,2486.5,2481.97,2485.6
2024.09.04,17:00:00,2484.96,2499.33,2484.18,2491.47
2024.09.04,17:15:00,2491.47,2493.21,2488.29,2492.1
2024.09.04,17:30:00,2492.03,2499.49,2492.03,2498.57
2024.09.04,17:45:00,2498.48,2500.15,2495.72,2496.12
2024.09.04,18:00:00,2496.16,2498.24,2493.94,2496.0
2024.09.04,18:15:00,2495.99,2497.64,2494.5,2495.14
2024.09.04,18:30:00,2495.12,2495.28,2492.7,2494.8
2024.09.04,18:45:00,2494.77,2495.42,2493.24,2493.97
2024.09.04,19:00:00,2493.97,2496.6,2493.1,2495.26
2024.09.04,19:15:00,2495.27,2496.77,2494.39,2495.95
2024.09.04,19:30:00,2495.95,2497.85,2495.36,2496.46
2024.09.04,19:45:00,2496.46,2496.96,2495.25,2496.62
2024.09.04,20:00:00,2496.62,2497.22,2496.18,2496.38
2024.09.04,20:15:00,2496.36,2496.46,2494.38,2494.7
2024.09.04,20:30:00,2494.69,2494.93,2493.84,2494.19
2024.09.04,20:45:00,2494.19,2494.72,2493.4,2493.93
2024.09.04,21:00:00,2493.92,2494.17,2492.39,2493.46
2024.09.04,21:15:00,2493.46,2494.42,2492.84,2493.62
2024.09.04,21:30:00,2493.6,2493.61,2492.64,2493.37
2024.09.04,21:45:00,2493.32,2495.44,2492.98,2494.59
2024.09.04,22:00:00,2494.58,2494.7,2492.64,2493.34
2024.09.04,22:15:00,2493.35,2494.42,2493.23,2493.8
2024.09.04,22:30:00,2493.79,2493.8,2491.39,2491.82
2024.09.04,22:45:00,2491.81,2493.31,2491.81,2493.29
2024.09.04,23:00:00,2493.27,2494.75,2492.85,2494.66
2024.09.04,23:15:00,2494.66,2494.79,2493.82,2494.61
2024.09.04,23:30:00,2494.61,2495.92,2494.45,2495.55
2024.09.04,23:45:00,2495.55,2496.93,2495.26,2495.44
2024.09.05,01:00:00,2495.24,2495.59,2494.41,2494.76
2024.09.05,01:15:00,2494.8,2495.68,2494.68,2494.75
2024.09.05,01:30:00,2494.75,2495.53,2494.6,2495.34
2024.09.05,01:45:00,2495.28,2495.39,2494.95,2495.29
2024.09.05,02:00:00,2495.3,2495.95,2495.02,2495.81
2024.09.05,02:15:00,2495.81,2496.09,2495.35,2495.81
2024.09.05,02:30:00,2495.81,2496.8,2495.79,2495.91
2024.09.05,02:45:00,2495.91,2496.1,2495.04,2495.77
2024.09.05,03:00:00,2495.78,2496.49,2494.98,2495.67
2024.09.05,03:15:00,2495.68,2496.22,2494.69,2495.11
2024.09.05,03:30:00,2495.12,2496.15,2494.41,2495.17
2024.09.05,03:45:00,2495.23,2495.59,2494.44,2495.1
2024.09.05,04:00:00,2495.09,2497.37,2494.41,2495.91
2024.09.05,04:15:00,2495.91,2499.21,2495.57,2497.97
2024.09.05,04:30:00,2497.96,2498.17,2495.66,2497.55
2024.09.05,04:45:00,2497.55,2497.75,2495.74,2496.3
2024.09.05,05:00:00,2496.3,2497.39,2496.14,2496.48
2024.09.05,05:15:00,2496.47,2498.03,2496.21,2497.79
2024.09.05,05:30:00,2497.76,2498.53,2497.63,2498.15
2024.09.05,05:45:00,2498.17,2498.9,2497.4,2498.0
2024.09.05,06:00:00,2497.99,2498.5,2496.42,2496.76
2024.09.05,06:15:00,2496.75,2496.98,2496.04,2496.76
2024.09.05,06:30:00,2496.7,2496.81,2495.64,2495.96
