datetime,type,price,size
2024-01-03 21:45:00,buy,2037.99,1
2024-01-03 21:45:00,buy,2037.99,1
2024-01-03 21:45:00,buy,2037.99,1
2024-01-04 02:15:00,sell,2042.74,-3
2024-01-04 02:45:00,sell,2042.28,-1
2024-01-04 02:45:00,sell,2042.28,-1
2024-01-04 02:45:00,sell,2042.28,-1
2024-01-04 03:30:00,buy,2041.08,3
2024-01-04 03:45:00,buy,2040.68,1
2024-01-04 03:45:00,buy,2040.68,1
2024-01-04 03:45:00,buy,2040.68,1
2024-01-04 04:45:00,sell,2043.0600000000002,-3
2024-01-04 05:00:00,buy,2044.6,1
2024-01-04 05:00:00,buy,2044.6,1
2024-01-04 05:00:00,buy,2044.6,1
2024-01-04 06:00:00,sell,2044.63,-3
2024-01-04 06:00:00,sell,2044.63,-3
2024-01-04 06:45:00,buy,2044.3100000000002,3
2024-01-04 06:45:00,buy,2044.3100000000002,3
2024-01-04 07:00:00,sell,2043.12,-3
2024-01-04 07:00:00,sell,2043.12,-3
2024-01-04 07:00:00,sell,2043.12,-3
2024-01-04 08:00:00,buy,2043.61,6
2024-01-04 08:15:00,buy,2045.12,1
2024-01-04 08:15:00,buy,2045.12,1
2024-01-04 08:15:00,buy,2045.12,1
2024-01-04 08:45:00,sell,2045.79,-3
2024-01-04 09:00:00,buy,2047.15,1
2024-01-04 09:00:00,buy,2047.15,1
2024-01-04 09:00:00,buy,2047.15,1
2024-01-04 09:30:00,sell,2048.33,-3
2024-01-04 09:45:00,buy,2049.21,1
2024-01-04 09:45:00,buy,2049.21,1
2024-01-04 09:45:00,buy,2049.21,1
2024-01-04 10:00:00,sell,2047.67,-3
2024-01-04 10:15:00,buy,2047.72,1
2024-01-04 10:15:00,buy,2047.72,1
2024-01-04 10:15:00,buy,2047.72,1
2024-01-04 10:30:00,sell,2047.38,-3
2024-01-04 10:30:00,sell,2047.38,-3
2024-01-04 10:30:00,sell,2047.38,-3
2024-01-04 11:00:00,buy,2046.62,6
2024-01-04 11:15:00,buy,2048.05,1
2024-01-04 11:15:00,buy,2048.05,1
2024-01-04 11:15:00,buy,2048.05,1
2024-01-04 12:00:00,sell,2047.88,-3
2024-01-04 12:15:00,buy,2048.26,1
2024-01-04 12:15:00,buy,2048.26,1
2024-01-04 12:15:00,buy,2048.26,1
